dataset,split,experiment_id,model,fast_adapter,seed,checkpoint_role,checkpoint,internal_epoch,test_votes,validation_miou_pct,fullcloud_miou_pct,status
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,102,,67.6384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,103,,70.8692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,104,,67.6230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,105,,68.0923077,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,106,,69.4153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,107,,66.5153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,108,,67.0153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,109,,63.9000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,110,,66.8384615,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,111,,65.0307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,112,,68.7692308,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,113,,66.9000000,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,114,,64.5615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,115,,68.2769231,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,116,,66.7615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,117,,67.5461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,118,,68.6153846,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,119,,71.5615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,120,,66.9076923,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,121,,68.5307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,122,,70.1846154,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,123,,68.1461538,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,124,,68.9307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,125,,70.8615385,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,126,,68.8307692,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,127,,69.2230769,,completed
S3DIS,Area_5,s3dis_litept_l1_250_seed57106803,LitePT-L1,false,57106803,validation_snapshot,,128,,71.1076923,,completed
